strategy,techns,salary,cost,revenue,proposal,assigned,worker,companies,clients,alltechns,stations
HARD,125,40.0,30000.0,15541.0,1576,630,2250,6,90,688,9
HARD,125,40.0,30000.0,13119.1,1576,517,2250,6,90,688,9
EASY,176,40.0,42240.0,2904.0,1618,113,3168,6,90,688,9
HARD,125,40.0,30000.0,7090.0,1570,265,2250,6,90,688,9
EASY,103,40.0,24720.0,1034.5,1420,39,1854,6,90,688,9
HARD,34,40.0,8160.0,1618.1,579,63,612,6,90,688,9
HARD,53,33.0,6996.0,6841.0,610,259,636,6,80,330,5
HARD,53,33.0,6996.0,4242.7,610,159,636,6,80,330,5
EASY,59,33.0,7788.0,3292.8,655,132,708,6,80,330,5
HARD,32,33.0,4224.0,2624.0,372,93,384,6,80,330,5
EASY,59,33.0,7788.0,3746.0,655,145,708,6,80,330,5
EASY,74,33.0,9768.0,4790.1,748,194,888,6,80,330,5
HARD,125,21.0,23625.0,15821.5,3360,609,3375,9,196,1231,7
EASY,180,21.0,34020.0,20527.2,4471,853,4860,9,196,1231,7
EASY,177,21.0,33453.0,18964.5,4396,790,4779,9,196,1231,7
EASY,177,21.0,33453.0,10385.0,4396,403,4779,9,196,1231,7
HARD,71,21.0,13419.0,5792.0,1830,207,1917,9,196,1231,7
HARD,125,21.0,23625.0,28391.5,3360,1115,3375,9,196,1231,7
HARD,125,21.0,23625.0,23418.6,3360,910,3375,9,196,1231,7
EASY,180,21.0,34020.0,6103.1,4471,247,4860,9,196,1231,7
HARD,71,21.0,13419.0,10201.6,1830,384,1917,9,196,1231,7
HARD,104,16.0,4992.0,223.3,934,9,936,9,176,915,8
EASY,91,16.0,4368.0,3643.2,783,149,819,9,176,915,8
HARD,104,16.0,4992.0,323.0,934,13,936,9,176,915,8
EASY,91,16.0,4368.0,6410.0,783,251,819,9,176,915,8
HARD,111,16.0,5328.0,9929.9,993,366,999,9,176,915,8
EASY,91,16.0,4368.0,0.0,783,0,819,9,176,915,8
EASY,101,16.0,4848.0,3549.1,876,146,909,9,176,915,8
HARD,111,16.0,5328.0,13296.5,993,512,999,9,176,915,8
HARD,111,16.0,5328.0,1054.5,993,42,999,9,176,915,8
HARD,29,27.0,7047.0,13580.4,708,504,783,9,144,775,8
EASY,80,27.0,19440.0,4968.4,2032,200,2160,9,144,775,8
EASY,152,27.0,36936.0,21255.7,3358,858,4104,9,144,775,8
HARD,21,27.0,5103.0,1794.6,417,63,567,9,144,775,8
EASY,80,27.0,19440.0,5940.0,2032,232,2160,9,144,775,8
EASY,152,27.0,36936.0,23512.8,3358,939,4104,9,144,775,8
EASY,152,27.0,36936.0,13120.3,3358,507,4104,9,144,775,8
HARD,29,27.0,7047.0,5944.3,708,216,783,9,144,775,8
EASY,80,27.0,19440.0,7737.5,2032,310,2160,9,144,775,8
EASY,189,43.0,130032.0,5303.4,5175,220,9072,8,112,1192,4
EASY,189,43.0,130032.0,8449.3,5175,334,9072,8,112,1192,4
EASY,86,43.0,59168.0,4375.4,3885,178,4128,8,112,1192,4
EASY,86,43.0,59168.0,6259.0,3885,240,4128,8,112,1192,4
HARD,180,43.0,123840.0,11022.3,5175,443,8640,8,112,1192,4
HARD,93,43.0,63984.0,59215.2,4314,2389,4464,8,112,1192,4
EASY,189,43.0,130032.0,6080.8,5175,240,9072,8,112,1192,4
HARD,180,43.0,123840.0,27760.2,5175,1131,8640,8,112,1192,4
HARD,156,34.0,63648.0,10471.2,1631,427,5616,7,44,598,4
HARD,39,34.0,15912.0,4525.5,1259,179,1404,7,44,598,4
EASY,60,34.0,24480.0,3521.9,1541,144,2160,7,44,598,4
HARD,39,34.0,15912.0,2349.5,1259,87,1404,7,44,598,4
HARD,156,34.0,63648.0,5563.4,1631,214,5616,7,44,598,4
HARD,39,34.0,15912.0,7851.4,1259,315,1404,7,44,598,4
EASY,109,34.0,44472.0,6713.6,1631,265,3924,7,44,598,4
EASY,93,32.0,11904.0,0.0,226,0,1116,8,20,964,4
EASY,91,32.0,11648.0,247.4,226,9,1092,8,20,964,4
EASY,91,32.0,11648.0,0.0,226,0,1092,8,20,964,4
HARD,180,32.0,23040.0,1724.5,226,67,2160,8,20,964,4
EASY,93,32.0,11904.0,1107.0,226,41,1116,8,20,964,4
HARD,180,32.0,23040.0,527.3,226,22,2160,8,20,964,4
EASY,93,32.0,11904.0,0.0,226,0,1116,8,20,964,4
HARD,143,32.0,18304.0,2152.1,226,87,1716,8,20,964,4
HARD,174,38.0,99180.0,55312.4,5819,2176,7830,5,135,807,9
EASY,118,38.0,67260.0,30095.8,4613,1230,5310,5,135,807,9
EASY,168,38.0,95760.0,47948.2,5648,1928,7560,5,135,807,9
EASY,168,38.0,95760.0,3886.0,5648,145,7560,5,135,807,9
HARD,179,38.0,102030.0,13984.9,5854,538,8055,5,135,807,9
HARD,164,49.0,16072.0,142.5,792,6,984,7,140,835,5
HARD,133,49.0,13034.0,6681.5,725,258,798,7,140,835,5
HARD,164,49.0,16072.0,522.5,792,21,984,7,140,835,5
HARD,164,49.0,16072.0,10316.6,792,389,984,7,140,835,5
EASY,73,49.0,7154.0,3385.0,424,132,438,7,140,835,5
EASY,64,49.0,6272.0,0.0,373,0,384,7,140,835,5
EASY,73,49.0,7154.0,341.6,424,14,438,7,140,835,5
EASY,63,37.0,23310.0,12376.1,1838,521,1890,6,162,845,9
HARD,169,37.0,62530.0,18507.1,4332,724,5070,6,162,845,9
HARD,173,37.0,64010.0,27761.7,4390,1110,5190,6,162,845,9
EASY,102,37.0,37740.0,3783.8,2894,149,3060,6,162,845,9
HARD,169,37.0,62530.0,13502.0,4332,509,5070,6,162,845,9
HARD,169,37.0,62530.0,42638.1,4332,1723,5070,6,162,845,9
HARD,26,48.0,23712.0,7881.4,1411,312,1482,9,72,770,9
HARD,32,48.0,29184.0,6525.5,1746,256,1824,9,72,770,9
HARD,26,48.0,23712.0,4791.7,1411,189,1482,9,72,770,9
EASY,100,48.0,91200.0,20732.5,3778,838,5700,9,72,770,9
EASY,176,48.0,160512.0,4061.0,4057,152,10032,9,72,770,9
EASY,176,48.0,160512.0,20113.0,4057,793,10032,9,72,770,9
EASY,176,48.0,160512.0,23461.2,4057,958,10032,9,72,770,9
HARD,26,48.0,23712.0,3980.5,1419,156,1482,9,72,770,9
HARD,32,48.0,29184.0,10167.0,1746,403,1824,9,72,770,9
HARD,171,17.0,43605.0,114600.5,6865,4388,7695,5,168,501,7
EASY,93,17.0,23715.0,38086.6,4024,1583,4185,5,168,501,7
HARD,96,17.0,24480.0,24440.8,4251,951,4320,5,168,501,7
EASY,93,17.0,23715.0,12483.4,4024,510,4185,5,168,501,7
EASY,48,17.0,12240.0,2176.5,2131,87,2160,5,168,501,7
HARD,147,15.0,33075.0,36612.1,5355,1481,6615,8,126,753,9
EASY,79,15.0,17775.0,5004.2,3251,209,3555,8,126,753,9
HARD,147,15.0,33075.0,15524.0,5355,609,6615,8,126,753,9
EASY,27,15.0,6075.0,1800.0,1206,72,1215,8,126,753,9
EASY,79,15.0,17775.0,3860.0,3251,150,3555,8,126,753,9
HARD,48,15.0,10800.0,23737.7,1924,919,2160,8,126,753,9
HARD,147,15.0,33075.0,53713.5,5355,2176,6615,8,126,753,9
EASY,79,15.0,17775.0,3089.7,3251,127,3555,8,126,753,9
HARD,40,49.0,29400.0,6351.0,1262,267,1800,9,35,795,7
EASY,72,49.0,52920.0,2269.0,1481,87,3240,9,35,795,7
HARD,111,49.0,81585.0,5287.1,1517,218,4995,9,35,795,7
HARD,40,49.0,29400.0,2383.2,1262,94,1800,9,35,795,7
HARD,40,49.0,29400.0,2291.8,1262,87,1800,9,35,795,7
EASY,72,49.0,52920.0,4766.4,1481,182,3240,9,35,795,7
EASY,198,49.0,145530.0,4578.6,1517,172,8910,9,35,795,7
HARD,111,49.0,81585.0,3722.9,1517,151,4995,9,35,795,7
HARD,111,49.0,81585.0,6174.2,1517,259,4995,9,35,795,7
EASY,89,46.0,81880.0,22274.6,4336,909,5340,6,80,711,5
EASY,142,46.0,130640.0,25529.2,4867,1042,8520,6,80,711,5
HARD,173,46.0,159160.0,31460.0,4876,1230,10380,6,80,711,5
HARD,45,46.0,41400.0,4199.4,2671,153,2700,6,80,711,5
HARD,173,46.0,159160.0,10596.9,4876,402,10380,6,80,711,5
EASY,89,46.0,81880.0,27627.1,4336,1140,5340,6,80,711,5
EASY,21,36.0,12096.0,7067.8,1008,303,1008,7,152,836,8
HARD,124,36.0,71424.0,20228.9,5687,791,5952,7,152,836,8
HARD,187,36.0,107712.0,51439.2,6912,2081,8976,7,152,836,8
EASY,21,36.0,12096.0,1350.0,1008,54,1008,7,152,836,8
HARD,187,36.0,107712.0,10958.0,6912,406,8976,7,152,836,8
EASY,172,36.0,99072.0,22095.5,6667,937,8256,7,152,836,8
HARD,124,36.0,71424.0,62222.3,5687,2473,5952,7,152,836,8
HARD,43,36.0,29412.0,13554.4,2196,539,2451,9,72,1046,9
EASY,174,36.0,119016.0,11896.8,4131,482,9918,9,72,1046,9
HARD,43,36.0,29412.0,6105.1,2196,235,2451,9,72,1046,9
EASY,31,36.0,21204.0,1070.0,1636,42,1767,9,72,1046,9
EASY,174,36.0,119016.0,5383.0,4131,201,9918,9,72,1046,9
HARD,188,36.0,128592.0,37313.3,4131,1515,10716,9,72,1046,9
EASY,174,36.0,119016.0,10119.4,4131,409,9918,9,72,1046,9
EASY,31,36.0,21204.0,3794.8,1636,164,1767,9,72,1046,9
HARD,188,36.0,128592.0,13616.6,4131,544,10716,9,72,1046,9
EASY,34,21.0,12852.0,22918.1,1836,963,1836,8,200,616,8
HARD,22,21.0,8316.0,7945.4,978,297,1188,8,200,616,8
HARD,22,21.0,8316.0,13597.7,978,510,1188,8,200,616,8
HARD,158,21.0,59724.0,22331.9,8295,855,8532,8,200,616,8
EASY,100,21.0,37800.0,13512.3,5221,530,5400,8,200,616,8
HARD,158,21.0,59724.0,126483.3,8295,4881,8532,8,200,616,8
EASY,100,21.0,37800.0,68295.3,5221,2816,5400,8,200,616,8
HARD,22,21.0,8316.0,6525.9,978,243,1188,8,200,616,8
HARD,24,46.0,12144.0,14607.8,792,540,792,8,176,662,8
EASY,131,46.0,66286.0,15805.9,3971,617,4323,8,176,662,8
EASY,65,46.0,32890.0,5884.4,2081,239,2145,8,176,662,8
HARD,132,46.0,66792.0,20537.7,4229,752,4356,8,176,662,8
HARD,24,46.0,12144.0,7390.2,792,270,792,8,176,662,8
EASY,131,46.0,66286.0,31513.0,3971,1280,4323,8,176,662,8
HARD,24,46.0,12144.0,13820.9,792,513,792,8,176,662,8
EASY,131,46.0,66286.0,38675.8,3971,1572,4323,8,176,662,8
EASY,137,35.0,19180.0,2210.2,949,88,1644,8,80,998,8
EASY,183,35.0,25620.0,2396.2,958,92,2196,8,80,998,8
EASY,183,35.0,25620.0,2529.0,958,99,2196,8,80,998,8
HARD,46,35.0,6440.0,3581.0,510,131,552,8,80,998,8
EASY,137,35.0,19180.0,3408.0,949,130,1644,8,80,998,8
HARD,46,35.0,6440.0,1379.9,510,54,552,8,80,998,8
EASY,183,35.0,25620.0,0.0,958,0,2196,8,80,998,8
HARD,83,35.0,11620.0,9280.0,841,364,996,8,80,998,8
EASY,143,33.0,42471.0,7393.4,2442,310,3861,7,90,748,5
HARD,52,33.0,15444.0,6947.1,1352,271,1404,7,90,748,5
HARD,52,33.0,15444.0,6288.2,1352,246,1404,7,90,748,5
EASY,125,33.0,37125.0,5491.0,2415,207,3375,7,90,748,5
HARD,199,33.0,59103.0,16479.1,2442,646,5373,7,90,748,5
HARD,52,33.0,15444.0,9510.8,1352,371,1404,7,90,748,5
EASY,125,33.0,37125.0,9485.8,2415,391,3375,7,90,748,5
HARD,57,37.0,40071.0,37023.9,2883,1413,3249,8,196,632,7
HARD,57,37.0,40071.0,8508.5,2883,318,3249,8,196,632,7
HARD,72,37.0,50616.0,24196.5,3924,918,4104,8,196,632,7
EASY,67,37.0,47101.0,4950.0,3766,196,3819,8,196,632,7
EASY,67,37.0,47101.0,59300.4,3766,2489,3819,8,196,632,7
EASY,183,37.0,128649.0,94251.8,9465,3699,10431,8,196,632,7
HARD,72,37.0,50616.0,43621.3,3924,1659,4104,8,196,632,7
HARD,57,37.0,40071.0,8498.9,2883,318,3249,8,196,632,7
HARD,168,33.0,44352.0,16941.2,2475,678,4032,9,108,984,9
EASY,25,33.0,6600.0,0.0,594,0,600,9,108,984,9
EASY,53,33.0,13992.0,0.0,1185,0,1272,9,108,984,9
HARD,176,33.0,46464.0,8661.3,2478,323,4224,9,108,984,9
EASY,25,33.0,6600.0,0.0,594,0,600,9,108,984,9
HARD,168,33.0,44352.0,6072.8,2475,254,4032,9,108,984,9
HARD,168,33.0,44352.0,13277.9,2475,542,4032,9,108,984,9
EASY,25,33.0,6600.0,0.0,594,0,600,9,108,984,9
HARD,176,33.0,46464.0,17483.3,2478,685,4224,9,108,984,9
HARD,44,31.0,24552.0,20863.0,1905,804,2376,9,135,951,9
HARD,58,31.0,32364.0,20689.2,3078,791,3132,9,135,951,9
EASY,177,31.0,98766.0,14709.4,7065,573,9558,9,135,951,9
EASY,177,31.0,98766.0,10593.0,7065,400,9558,9,135,951,9
HARD,58,31.0,32364.0,7821.7,3078,294,3132,9,135,951,9
EASY,177,31.0,98766.0,32944.4,7065,1326,9558,9,135,951,9
EASY,108,31.0,60264.0,40643.5,5202,1672,5832,9,135,951,9
HARD,44,31.0,24552.0,14095.8,1902,544,2376,9,135,951,9
EASY,108,31.0,60264.0,24207.5,5202,1012,5832,9,135,951,9
HARD,159,45.0,57240.0,8993.3,1362,363,3816,9,56,1117,7
EASY,37,45.0,13320.0,0.0,738,0,888,9,56,1117,7
EASY,50,45.0,18000.0,0.0,933,0,1200,9,56,1117,7
HARD,172,45.0,61920.0,5897.0,1362,218,4128,9,56,1117,7
EASY,37,45.0,13320.0,0.0,738,0,888,9,56,1117,7
HARD,159,45.0,57240.0,0.0,1362,0,3816,9,56,1117,7
HARD,172,45.0,61920.0,3464.8,1362,142,4128,9,56,1117,7
HARD,172,45.0,61920.0,7926.0,1362,312,4128,9,56,1117,7
HARD,159,45.0,57240.0,8087.1,1362,327,3816,9,56,1117,7
EASY,62,17.0,15810.0,486.2,2295,18,2790,8,60,1100,6
HARD,190,17.0,48450.0,13969.5,2940,557,8550,8,60,1100,6
EASY,62,17.0,15810.0,725.5,2295,27,2790,8,60,1100,6
EASY,62,17.0,15810.0,3987.0,2295,152,2790,8,60,1100,6
HARD,192,17.0,48960.0,8624.2,2940,339,8640,8,60,1100,6
HARD,192,17.0,48960.0,26254.8,2940,1079,8640,8,60,1100,6
EASY,150,17.0,38250.0,2681.2,2940,99,6750,8,60,1100,6
HARD,190,17.0,48450.0,16500.4,2940,669,8550,8,60,1100,6
EASY,169,34.0,63206.0,23141.3,5243,967,5577,9,203,1274,7
HARD,130,34.0,48620.0,14731.2,4279,555,4290,9,203,1274,7
EASY,93,34.0,34782.0,4630.3,2994,190,3069,9,203,1274,7
EASY,93,34.0,34782.0,5050.0,2994,200,3069,9,203,1274,7
HARD,191,34.0,71434.0,16257.7,5993,602,6303,9,203,1274,7
HARD,130,34.0,48620.0,40020.4,4279,1561,4290,9,203,1274,7
EASY,169,34.0,63206.0,27011.3,5243,1115,5577,9,203,1274,7
EASY,169,34.0,63206.0,17037.1,5243,681,5577,9,203,1274,7
HARD,130,34.0,48620.0,24360.9,4279,941,4290,9,203,1274,7
HARD,151,23.0,52095.0,31105.3,4674,1249,6795,8,108,1001,6
EASY,104,23.0,35880.0,775.6,3962,31,4680,8,108,1001,6
HARD,105,23.0,36225.0,13541.6,4140,529,4725,8,108,1001,6
EASY,141,23.0,48645.0,8077.0,4550,301,6345,8,108,1001,6
EASY,104,23.0,35880.0,1597.0,3962,60,4680,8,108,1001,6
HARD,151,23.0,52095.0,52304.3,4674,2118,6795,8,108,1001,6
EASY,104,23.0,35880.0,5094.4,3962,218,4680,8,108,1001,6
EASY,141,23.0,48645.0,6281.5,4550,269,6345,8,108,1001,6
EASY,78,50.0,19500.0,6622.8,1136,272,1170,9,175,786,7
HARD,137,50.0,34250.0,13812.6,1990,538,2055,9,175,786,7
EASY,23,50.0,5750.0,371.8,345,15,345,9,175,786,7
HARD,114,50.0,28500.0,11644.0,1685,433,1710,9,175,786,7
HARD,114,50.0,28500.0,16640.4,1685,629,1710,9,175,786,7
HARD,137,50.0,34250.0,4870.3,1990,204,2055,9,175,786,7
EASY,23,50.0,5750.0,1244.4,345,51,345,9,175,786,7
EASY,23,50.0,5750.0,975.0,345,39,345,9,175,786,7
HARD,137,50.0,34250.0,8980.3,1990,366,2055,9,175,786,7
EASY,169,24.0,68952.0,4665.6,3216,171,8619,7,60,1210,5
HARD,198,24.0,80784.0,10078.4,3216,401,10098,7,60,1210,5
EASY,173,24.0,70584.0,1251.2,3216,45,8823,7,60,1210,5
HARD,137,24.0,55896.0,9184.7,3216,361,6987,7,60,1210,5
HARD,137,24.0,55896.0,6057.4,3216,228,6987,7,60,1210,5
HARD,198,24.0,80784.0,26720.9,3216,1103,10098,7,60,1210,5
HARD,198,24.0,80784.0,21999.8,3216,907,10098,7,60,1210,5
HARD,62,43.0,34658.0,28411.8,2354,1124,2418,6,102,670,6
HARD,140,43.0,78260.0,15493.5,3857,617,5460,6,102,670,6
HARD,62,43.0,34658.0,14326.8,2354,570,2418,6,102,670,6
HARD,140,43.0,78260.0,7436.0,3857,279,5460,6,102,670,6
EASY,94,43.0,52546.0,15866.3,3181,661,3666,6,102,670,6
EASY,172,43.0,96148.0,16193.1,3907,665,6708,6,102,670,6
HARD,140,49.0,41160.0,23148.3,2506,882,2520,7,252,839,9
HARD,21,49.0,6174.0,1466.9,168,54,378,7,252,839,9
EASY,128,49.0,37632.0,12264.5,2245,489,2304,7,252,839,9
HARD,140,49.0,41160.0,10677.9,2506,387,2520,7,252,839,9
EASY,135,49.0,39690.0,9627.3,2371,379,2430,7,252,839,9
HARD,140,49.0,41160.0,31039.7,2506,1190,2520,7,252,839,9
EASY,135,49.0,39690.0,28916.7,2371,1192,2430,7,252,839,9
EASY,27,48.0,22032.0,0.0,1179,0,1377,10,40,1286,5
HARD,137,48.0,111792.0,4682.9,2031,188,6987,10,40,1286,5
HARD,137,48.0,111792.0,9147.6,2031,373,6987,10,40,1286,5
HARD,181,48.0,147696.0,2472.0,2031,94,9231,10,40,1286,5
EASY,27,48.0,22032.0,0.0,1179,0,1377,10,40,1286,5
EASY,153,48.0,124848.0,3876.5,2031,144,7803,10,40,1286,5
HARD,137,48.0,111792.0,12768.8,2031,531,6987,10,40,1286,5
EASY,153,48.0,124848.0,1251.2,2031,45,7803,10,40,1286,5
HARD,181,48.0,147696.0,12754.9,2031,530,9231,10,40,1286,5
EASY,153,48.0,124848.0,3398.4,2031,126,7803,10,40,1286,5
HARD,197,35.0,89635.0,5026.1,1556,199,7683,6,40,709,8
EASY,82,35.0,37310.0,5006.5,1511,193,3198,6,40,709,8
EASY,94,35.0,42770.0,4652.0,1547,184,3666,6,40,709,8
HARD,127,35.0,57785.0,2955.0,1556,110,4953,6,40,709,8
EASY,82,35.0,37310.0,4281.8,1511,175,3198,6,40,709,8
HARD,127,35.0,57785.0,17173.1,1556,695,4953,6,40,709,8
EASY,102,31.0,37944.0,3318.9,3137,134,3672,8,117,934,9
HARD,161,31.0,59892.0,24435.3,4124,977,5796,8,117,934,9
EASY,102,31.0,37944.0,2480.5,3137,99,3672,8,117,934,9
EASY,46,31.0,17112.0,2580.0,1565,103,1656,8,117,934,9
HARD,161,31.0,59892.0,10902.3,4118,419,5796,8,117,934,9
EASY,102,31.0,37944.0,3669.8,3137,150,3672,8,117,934,9
HARD,99,31.0,36828.0,35050.2,3304,1399,3564,8,117,934,9
HARD,161,31.0,59892.0,23772.9,4118,951,5796,8,117,934,9
HARD,117,24.0,11232.0,10337.2,1031,405,1404,8,84,806,7
EASY,95,24.0,9120.0,910.2,900,35,1140,8,84,806,7
EASY,95,24.0,9120.0,245.4,900,9,1140,8,84,806,7
EASY,86,24.0,8256.0,2342.0,819,89,1032,8,84,806,7
HARD,117,24.0,11232.0,10459.0,1031,397,1404,8,84,806,7
HARD,117,24.0,11232.0,375.8,1031,16,1404,8,84,806,7
HARD,93,24.0,8928.0,2543.9,944,103,1116,8,84,806,7
EASY,86,24.0,8256.0,651.7,819,26,1032,8,84,806,7
HARD,185,19.0,14060.0,0.0,846,0,2220,8,81,1260,9
HARD,157,19.0,11932.0,4233.9,846,173,1884,8,81,1260,9
EASY,79,19.0,6004.0,493.3,696,18,948,8,81,1260,9
HARD,157,19.0,11932.0,6354.0,846,238,1884,8,81,1260,9
HARD,185,19.0,14060.0,9540.0,846,381,2220,8,81,1260,9
EASY,170,19.0,12920.0,742.1,846,27,2040,8,81,1260,9
HARD,157,19.0,11932.0,0.0,846,0,1884,8,81,1260,9
EASY,170,19.0,12920.0,250.2,846,9,2040,8,81,1260,9
EASY,23,34.0,12512.0,6757.5,1056,288,1104,6,72,348,8
HARD,102,34.0,55488.0,18611.8,3404,728,4896,6,72,348,8
HARD,102,34.0,55488.0,50276.9,3404,1996,4896,6,72,348,8
EASY,23,34.0,12512.0,1680.0,1056,67,1104,6,72,348,8
HARD,72,34.0,39168.0,6555.9,2987,242,3456,6,72,348,8
EASY,26,34.0,14144.0,5039.5,1167,213,1248,6,72,348,8
HARD,155,35.0,10850.0,0.0,856,0,930,9,160,1335,8
HARD,155,35.0,10850.0,3919.8,856,150,930,9,160,1335,8
EASY,89,35.0,6230.0,683.2,504,28,534,9,160,1335,8
EASY,144,35.0,10080.0,9046.0,780,345,864,9,160,1335,8
HARD,168,35.0,11760.0,10081.5,880,391,1008,9,160,1335,8
EASY,144,35.0,10080.0,0.0,780,0,864,9,160,1335,8
HARD,168,35.0,11760.0,142.5,880,6,1008,9,160,1335,8
HARD,168,35.0,11760.0,679.0,880,26,1008,9,160,1335,8
EASY,144,35.0,10080.0,122.0,780,5,864,9,160,1335,8
EASY,129,33.0,72369.0,12899.8,2290,519,6579,5,42,608,6
EASY,196,33.0,109956.0,10065.4,2290,416,9996,5,42,608,6
HARD,87,33.0,48807.0,22126.9,2251,882,4437,5,42,608,6
HARD,87,33.0,48807.0,3641.9,2251,136,4437,5,42,608,6
HARD,109,33.0,61149.0,8668.5,2281,337,5559,5,42,608,6
EASY,176,25.0,26400.0,12703.7,2181,508,3168,5,120,694,5
HARD,194,25.0,29100.0,26531.9,2181,1042,3492,5,120,694,5
EASY,176,25.0,26400.0,5755.4,2181,226,3168,5,120,694,5
EASY,118,25.0,17700.0,8835.0,1917,333,2124,5,120,694,5
HARD,30,25.0,4500.0,2048.0,540,72,540,5,120,694,5
EASY,195,35.0,122850.0,15403.2,7124,654,10530,8,133,1373,7
HARD,175,35.0,110250.0,35372.6,7079,1404,9450,8,133,1373,7
HARD,68,35.0,42840.0,40492.3,3628,1584,3672,8,133,1373,7
HARD,175,35.0,110250.0,12125.2,7079,460,9450,8,133,1373,7
EASY,195,35.0,122850.0,1152.0,7124,43,10530,8,133,1373,7
EASY,195,35.0,122850.0,14518.7,7133,613,10530,8,133,1373,7
EASY,195,35.0,122850.0,11421.4,7133,487,10530,8,133,1373,7
HARD,175,35.0,110250.0,48592.9,7079,1960,9450,8,133,1373,7
EASY,188,25.0,51700.0,736.3,1990,27,6204,12,60,1869,4
EASY,188,25.0,51700.0,250.2,1990,9,6204,12,60,1869,4
HARD,173,25.0,47575.0,7355.7,1990,301,5709,12,60,1869,4
HARD,173,25.0,47575.0,6217.9,1990,239,5709,12,60,1869,4
HARD,173,25.0,47575.0,6537.0,1990,257,5709,12,60,1869,4
HARD,179,25.0,49225.0,8157.1,1990,341,5907,12,60,1869,4
HARD,179,25.0,49225.0,7528.1,1990,310,5907,12,60,1869,4
EASY,188,25.0,51700.0,742.1,1990,27,6204,12,60,1869,4
HARD,179,25.0,49225.0,6854.6,1990,281,5907,12,60,1869,4
EASY,83,25.0,22825.0,1451.3,1927,54,2739,12,60,1869,4
EASY,83,25.0,22825.0,1214.2,1927,45,2739,12,60,1869,4
EASY,83,25.0,22825.0,2649.9,1927,99,2739,12,60,1869,4
EASY,61,46.0,11224.0,0.0,688,0,732,9,95,895,5
HARD,116,46.0,21344.0,7034.7,1074,280,1392,9,95,895,5
EASY,61,46.0,11224.0,265.1,688,11,732,9,95,895,5
EASY,161,46.0,29624.0,7801.0,1123,292,1932,9,95,895,5
HARD,116,46.0,21344.0,12807.9,1074,502,1392,9,95,895,5
EASY,61,46.0,11224.0,0.0,688,0,732,9,95,895,5
HARD,116,46.0,21344.0,416.6,1074,17,1392,9,95,895,5
EASY,161,46.0,29624.0,512.4,1123,21,1932,9,95,895,5
HARD,42,46.0,7728.0,224.0,480,9,504,9,95,895,5
HARD,75,18.0,18900.0,35502.4,2946,1347,3150,6,162,560,9
EASY,99,18.0,24948.0,47842.2,3909,1950,4158,6,162,560,9
HARD,51,18.0,12852.0,12153.9,1974,453,2142,6,162,560,9
EASY,185,18.0,46620.0,13084.9,6219,485,7770,6,162,560,9
EASY,99,18.0,24948.0,33088.5,3909,1339,4158,6,162,560,9
HARD,51,18.0,12852.0,31602.2,1974,1203,2142,6,162,560,9
EASY,89,31.0,19313.0,14273.0,1731,578,1869,5,110,625,5
HARD,167,31.0,36239.0,25915.4,2410,1014,3507,5,110,625,5
HARD,23,31.0,4991.0,3600.7,351,135,483,5,110,625,5
HARD,167,31.0,36239.0,8260.0,2410,306,3507,5,110,625,5
EASY,179,31.0,38843.0,10434.7,2424,409,3759,5,110,625,5
HARD,42,27.0,6804.0,5116.3,751,199,756,7,84,666,7
EASY,29,27.0,4698.0,247.3,504,10,522,7,84,666,7
HARD,196,27.0,31752.0,14284.2,1515,572,3528,7,84,666,7
HARD,196,27.0,31752.0,8504.0,1515,318,3528,7,84,666,7
EASY,29,27.0,4698.0,605.8,504,25,522,7,84,666,7
EASY,145,27.0,23490.0,8069.0,1506,310,2610,7,84,666,7
EASY,29,27.0,4698.0,1932.9,504,81,522,7,84,666,7
HARD,73,23.0,25185.0,13150.5,1489,544,3285,6,35,490,7
HARD,42,23.0,14490.0,5483.9,1365,214,1890,6,35,490,7
HARD,73,23.0,25185.0,8613.3,1489,354,3285,6,35,490,7
EASY,190,23.0,65550.0,2148.0,1498,80,8550,6,35,490,7
EASY,56,23.0,19320.0,1656.9,1408,62,2520,6,35,490,7
EASY,56,23.0,19320.0,6173.2,1408,244,2520,6,35,490,7
HARD,127,44.0,16764.0,0.0,622,0,1143,9,68,1061,4
EASY,102,44.0,13464.0,0.0,622,0,918,9,68,1061,4
HARD,124,44.0,16368.0,0.0,622,0,1116,9,68,1061,4
EASY,104,44.0,13728.0,4532.0,622,169,936,9,68,1061,4
HARD,127,44.0,16764.0,8223.6,622,323,1143,9,68,1061,4
HARD,124,44.0,16368.0,0.0,622,0,1116,9,68,1061,4
HARD,127,44.0,16764.0,0.0,622,0,1143,9,68,1061,4
HARD,124,44.0,16368.0,3298.2,622,130,1116,9,68,1061,4
EASY,102,44.0,13464.0,0.0,622,0,918,9,68,1061,4
HARD,118,34.0,36108.0,55045.8,2935,2150,3186,6,126,630,7
HARD,175,34.0,53550.0,15890.8,3407,629,4725,6,126,630,7
EASY,85,34.0,26010.0,4593.1,2149,194,2295,6,126,630,7
EASY,82,34.0,25092.0,4665.0,2080,181,2214,6,126,630,7
EASY,85,34.0,26010.0,2405.0,2149,93,2295,6,126,630,7
EASY,85,34.0,26010.0,4867.3,2149,204,2295,6,126,630,7
HARD,186,45.0,16740.0,0.0,610,0,1116,8,108,1128,6
HARD,186,45.0,16740.0,6464.2,610,260,1116,8,108,1128,6
HARD,36,45.0,3240.0,0.0,216,0,216,8,108,1128,6
